target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26306.1	1575	1419.5	3177.59	36.6974
DAnjou_Chr10v0.1_26305.1	1536	1380.5	416	4.94004
DAnjou_Chr10v0.1_26304.1	747	591.502	515	14.2733
DAnjou_Chr10v0.1_26303.1	1452	1296.5	1676.11	21.1935
DAnjou_Chr10v0.1_26302.1	891	735.502	1459.76	32.5365
DAnjou_Chr10v0.1_26301.1	945	789.502	2612.47	54.2465
DAnjou_Chr10v0.1_26300.1	2013	1857.5	6866.08	60.5974
DAnjou_Chr10v0.1_26299.1	711	555.502	2292.35	67.6502
DAnjou_Chr10v0.1_26298.1	2265	2109.5	616	4.78713
DAnjou_Chr10v0.1_26297.1	2142	1986.5	0	0
DAnjou_Chr10v0.1_26296.1	1485	1329.5	157.646	1.94387
DAnjou_Chr10v0.1_26295.1	2847	2691.5	2696.66	16.425
DAnjou_Chr10v0.1_26294.1	6554	6398.5	1851.21	4.74299
DAnjou_Chr10v0.1_26293.1	1029	873.502	6883.31	129.184
DAnjou_Chr10v0.1_26292.1	711	555.502	1013	29.895
DAnjou_Chr10v0.1_26291.1	418	263.549	194	12.0674
DAnjou_Chr10v0.1_26290.1	1824	1668.5	2062	20.2598
DAnjou_Chr10v0.1_26288.1	846	690.502	1063.62	25.2519
DAnjou_Chr10v0.1_26287.1	900	744.502	2217	48.8173
DAnjou_Chr10v0.1_26285.1	6444	6288.5	6910.24	18.0144
DAnjou_Chr10v0.1_26282.1	984	828.502	873	17.2741
DAnjou_Chr10v0.1_26281.1	2058	1902.5	42	0.361908
DAnjou_Chr10v0.1_26280.1	876	720.502	167	3.79975
DAnjou_Chr10v0.1_26279.1	681	525.572	2069	64.536
DAnjou_Chr10v0.1_26278.1	381	227.48	448	32.2856
DAnjou_Chr10v0.1_26277.1	882	726.502	1435.48	32.3917
DAnjou_Chr10v0.1_26276.1	369	215.83	5.1015	0.387489
DAnjou_Chr10v0.1_26275.1	2271	2115.5	271.326	2.10258
DAnjou_Chr10v0.1_26274.1	387	233.391	391.668	27.5111
DAnjou_Chr10v0.1_26273.1	1485	1329.5	49.2701	0.607531
DAnjou_Chr10v0.1_26272.1	639	483.572	6934.89	235.1
DAnjou_Chr10v0.1_26271.1	486	330.892	227.824	11.2872
DAnjou_Chr10v0.1_26270.1	1014	858.502	60.4283	1.15391
DAnjou_Chr10v0.1_26269.1	498	342.835	23.2846	1.11342
DAnjou_Chr10v0.1_26268.1	609	453.592	6309.86	228.049
DAnjou_Chr10v0.1_26267.1	2139	1983.5	221.531	1.83095
DAnjou_Chr10v0.1_26266.1	444	289.231	0	0
